Minimo	Corrida
64	119
64	156
64	856
64	886
65	21
65	40
65	54
65	62
65	77
65	92
65	93
65	153
65	174
65	195
65	206
65	222
65	239
65	248
65	258
65	298
65	301
65	337
65	342
65	344
65	345
65	355
65	369
65	377
65	436
65	442
65	448
65	455
65	536
65	541
65	554
65	591
65	595
65	597
65	599
65	610
65	615
65	636
65	638
65	650
65	659
65	674
65	679
65	688
65	692
65	713
65	717
65	740
65	756
65	796
65	812
65	816
65	829
65	832
65	840
65	849
65	872
65	941
65	962
65	977
65	998
66	7
66	8
66	10
66	12
66	13
66	14
66	17
66	24
66	26
66	32
66	33
66	36
66	41
66	47
66	52
66	53
66	55
66	56
66	64
66	66
66	67
66	70
66	71
66	72
66	73
66	78
66	81
66	88
66	90
66	95
66	99
66	105
66	108
66	110
66	114
66	120
66	121
66	122
66	133
66	138
66	143
66	147
66	150
66	151
66	158
66	159
66	162
66	168
66	179
66	186
66	187
66	191
66	198
66	202
66	203
66	214
66	218
66	223
66	228
66	229
66	230
66	250
66	254
66	256
66	259
66	260
66	261
66	289
66	293
66	300
66	304
66	307
66	310
66	311
66	315
66	318
66	319
66	326
66	327
66	331
66	333
66	339
66	340
66	367
66	370
66	378
66	380
66	390
66	403
66	411
66	416
66	437
66	441
66	449
66	450
66	451
66	459
66	463
66	464
66	476
66	477
66	478
66	491
66	492
66	497
66	498
66	500
66	502
66	509
66	516
66	519
66	521
66	523
66	534
66	535
66	544
66	546
66	551
66	556
66	558
66	560
66	563
66	565
66	572
66	576
66	593
66	596
66	600
66	603
66	605
66	612
66	614
66	619
66	621
66	623
66	625
66	637
66	643
66	652
66	665
66	666
66	673
66	680
66	682
66	687
66	690
66	693
66	695
66	703
66	712
66	714
66	721
66	724
66	726
66	734
66	737
66	738
66	743
66	744
66	745
66	749
66	751
66	753
66	757
66	764
66	765
66	767
66	773
66	777
66	800
66	801
66	803
66	804
66	805
66	807
66	809
66	835
66	836
66	839
66	843
66	852
66	853
66	854
66	862
66	863
66	870
66	871
66	873
66	875
66	880
66	890
66	892
66	893
66	895
66	897
66	899
66	905
66	906
66	915
66	917
66	920
66	921
66	927
66	930
66	931
66	934
66	942
66	945
66	948
66	950
66	952
66	957
66	964
66	967
66	970
66	980
66	981
66	982
66	983
66	990
67	0
67	3
67	9
67	15
67	20
67	25
67	29
67	38
67	39
67	42
67	43
67	45
67	48
67	50
67	57
67	58
67	60
67	63
67	68
67	74
67	75
67	86
67	91
67	96
67	100
67	101
67	106
67	109
67	113
67	115
67	118
67	124
67	126
67	128
67	129
67	130
67	132
67	137
67	140
67	142
67	146
67	157
67	161
67	164
67	169
67	170
67	171
67	172
67	173
67	175
67	176
67	178
67	180
67	183
67	184
67	189
67	190
67	192
67	193
67	194
67	200
67	201
67	205
67	208
67	216
67	219
67	221
67	226
67	227
67	232
67	233
67	234
67	238
67	240
67	243
67	244
67	246
67	249
67	255
67	257
67	264
67	267
67	268
67	270
67	271
67	273
67	275
67	279
67	281
67	284
67	292
67	294
67	295
67	297
67	299
67	306
67	309
67	313
67	320
67	321
67	323
67	328
67	329
67	330
67	332
67	334
67	336
67	341
67	343
67	349
67	350
67	353
67	357
67	360
67	361
67	362
67	364
67	371
67	374
67	375
67	376
67	381
67	382
67	384
67	385
67	386
67	388
67	391
67	392
67	394
67	398
67	399
67	401
67	402
67	404
67	407
67	408
67	409
67	410
67	417
67	418
67	419
67	420
67	425
67	428
67	429
67	430
67	431
67	432
67	438
67	439
67	440
67	444
67	446
67	447
67	456
67	465
67	468
67	470
67	472
67	474
67	475
67	479
67	481
67	485
67	486
67	487
67	490
67	493
67	495
67	496
67	499
67	501
67	503
67	504
67	505
67	508
67	511
67	512
67	513
67	515
67	517
67	520
67	522
67	524
67	525
67	527
67	528
67	529
67	532
67	533
67	539
67	543
67	548
67	549
67	550
67	552
67	561
67	562
67	568
67	570
67	573
67	577
67	579
67	580
67	581
67	582
67	583
67	584
67	585
67	586
67	588
67	589
67	602
67	611
67	622
67	624
67	626
67	627
67	629
67	630
67	633
67	634
67	640
