Minimo	Corrida
206	57
206	283
207	26
207	924
208	100
208	117
208	365
208	378
208	412
208	651
208	699
208	874
208	997
209	28
209	185
209	217
209	253
209	254
209	267
209	305
209	360
209	377
209	400
209	417
209	557
209	585
209	594
209	604
209	615
209	647
209	666
209	703
209	769
209	841
209	864
209	969
209	970
210	2
210	8
210	11
210	15
210	16
210	38
210	49
210	82
210	112
210	157
210	196
210	272
210	286
210	289
210	320
210	342
210	414
210	419
210	440
210	465
210	468
210	470
210	471
210	476
210	535
210	561
210	579
210	593
210	598
210	620
210	662
210	665
210	671
210	679
210	758
210	811
210	826
210	856
210	870
210	904
210	928
211	33
211	48
211	70
211	76
211	86
211	118
211	122
211	132
211	141
211	142
211	144
211	165
211	172
211	182
211	208
211	211
211	212
211	228
211	242
211	261
211	301
211	338
211	376
211	404
211	436
211	438
211	461
211	473
211	480
211	489
211	499
211	502
211	509
211	527
211	541
211	545
211	555
211	556
211	562
211	610
211	618
211	639
211	645
211	653
211	678
211	681
211	704
211	710
211	728
211	730
211	755
211	782
211	814
211	832
211	849
211	850
211	859
211	873
211	875
211	916
211	925
211	932
211	936
211	938
211	946
211	948
211	973
211	998
212	1
212	5
212	35
212	37
212	42
212	44
212	47
212	54
212	58
212	64
212	80
212	99
212	103
212	108
212	136
212	137
212	139
212	149
212	152
212	158
212	162
212	189
212	192
212	197
212	198
212	202
212	207
212	209
212	216
212	220
212	222
212	245
212	255
212	264
212	275
212	296
212	300
212	304
212	316
212	329
212	334
212	337
212	340
212	347
212	353
212	357
212	361
212	366
212	368
212	375
212	380
212	386
212	395
212	397
212	406
212	421
212	424
212	425
212	428
212	441
212	444
212	445
212	452
212	462
212	466
212	477
212	517
212	521
212	523
212	531
212	546
212	549
212	559
212	560
212	567
212	571
212	580
212	582
212	583
212	603
212	611
212	613
212	616
212	638
212	641
212	648
212	658
212	661
212	668
212	672
212	674
212	680
212	685
212	701
212	726
212	727
212	740
212	754
212	756
212	781
212	785
212	790
212	818
212	821
212	838
212	852
212	854
212	860
212	868
212	869
212	880
212	896
212	906
212	918
