Minimo	Corrida
199	167
199	890
200	648
200	675
200	928
200	994
201	44
201	287
201	505
201	545
201	645
201	662
201	829
201	838
201	841
201	888
201	889
202	61
202	74
202	85
202	106
202	150
202	208
202	257
202	276
202	291
202	314
202	340
202	364
202	385
202	404
202	408
202	418
202	421
202	452
202	537
202	610
202	631
202	649
202	733
202	734
202	751
202	802
202	884
202	982
202	998
203	20
203	84
203	101
203	109
203	120
203	129
203	176
203	193
203	223
203	290
203	341
203	348
203	365
203	371
203	386
203	389
203	394
203	395
203	419
203	425
203	432
203	455
203	461
203	463
203	476
203	483
203	561
203	598
203	620
203	635
203	663
203	695
203	707
203	719
203	758
203	782
203	795
203	798
203	821
203	850
203	866
203	913
203	938
203	946
203	955
203	964
203	977
203	985
203	992
204	27
204	31
204	33
204	34
204	48
204	69
204	79
204	81
204	112
204	115
204	125
204	126
204	132
204	137
204	147
204	157
204	163
204	174
204	178
204	187
204	190
204	195
204	197
204	215
204	240
204	251
204	261
204	295
204	302
204	303
204	304
204	321
204	329
204	358
204	370
204	373
204	382
204	392
204	417
204	426
204	438
204	462
204	464
204	471
204	486
204	490
204	504
204	510
204	519
204	521
204	531
204	535
204	549
204	551
204	568
204	574
204	585
204	588
204	615
204	642
204	654
204	664
204	696
204	705
204	708
204	723
204	724
204	729
204	735
204	737
204	738
204	764
204	772
204	774
204	786
204	793
204	803
204	804
204	805
204	814
204	815
204	831
204	852
204	853
204	861
204	865
204	871
204	879
204	893
204	922
204	927
204	942
204	943
204	967
204	984
204	987
204	990
205	4
205	7
205	26
205	42
205	57
205	72
205	75
205	92
205	98
205	103
205	117
205	124
205	133
205	149
205	158
205	184
205	185
205	188
205	192
205	202
205	214
205	216
205	217
205	220
205	222
205	227
205	231
205	234
205	243
205	252
205	258
205	267
205	274
205	277
205	279
205	285
205	296
205	299
205	305
205	306
205	310
205	311
205	316
205	319
205	326
205	327
205	330
205	338
205	350
205	362
205	377
205	390
205	396
205	403
205	415
205	433
205	440
205	446
205	451
205	467
205	473
205	475
205	477
205	485
205	488
205	499
205	506
205	514
205	522
205	528
205	533
205	538
205	540
205	544
205	550
205	567
205	584
205	587
205	600
205	609
205	623
205	643
205	650
205	658
205	659
205	669
205	681
205	697
205	700
205	706
205	709
205	712
205	715
205	742
205	745
205	750
205	763
205	769
205	784
205	796
205	806
205	809
205	830
205	835
205	846
205	848
205	863
205	864
205	872
205	883
205	896
205	898
205	899
205	901
205	916
205	921
205	924
205	926
205	933
205	934
205	945
205	950
205	965
205	966
205	974
205	976
205	978
205	980
205	981
205	986
205	991
205	995
205	999
206	11
206	14
206	15
206	16
206	17
206	36
206	39
206	46
206	56
206	59
206	60
206	64
206	70
206	73
206	78
206	82
206	122
206	127
206	128
206	144
206	154
206	168
206	169
206	181
206	201
206	205
206	212
206	225
206	228
206	236
206	238
206	253
206	256
206	264
206	282
206	283
206	289
206	294
206	298
206	308
206	309
206	312
206	313
206	318
206	336
206	344
206	354
206	355
206	356
206	366
206	376
206	384
206	388
206	391
206	411
206	412
206	422
206	447
206	449
206	456
206	459
206	470
206	492
206	493
206	502
206	508
206	534
206	546
206	558
206	565
206	572
206	581
206	583
206	586
206	596
206	617
206	630
206	640
206	651
206	652
206	660
206	667
206	678
206	683
206	684
206	693
206	699
206	703
206	711
206	725
206	727
206	767
206	770
206	776
206	778
206	788
206	789
206	810
206	817
206	819
206	832
206	836
206	837
206	845
206	855
206	856
206	860
206	873
206	892
206	894
206	903
206	906
206	914
206	931
206	940
206	960
206	970
206	983
206	989
206	993
207	0
207	3
207	5
207	8
207	9
207	13
207	19
207	22
207	32
207	35
207	38
207	43
207	51
207	53
207	58
207	66
207	71
207	86
207	89
207	100
207	102
207	105
207	107
207	113
207	121
207	136
207	142
207	145
207	153
207	160
207	165
207	173
207	183
207	186
207	191
207	198
207	199
207	200
207	203
207	207
207	232
207	250
207	260
207	266
207	271
207	272
207	273
207	275
207	300
207	315
207	317
207	324
207	331
207	333
207	334
207	337
207	342
207	345
207	347
207	352
207	361
207	363
207	369
207	372
207	381
207	400
207	401
207	406
207	407
207	414
207	424
207	427
207	429
207	437
207	444
207	448
207	474
207	484
207	487
207	494
207	524
207	525
207	526
207	527
207	532
207	536
207	539
207	543
207	557
207	559
207	560
207	564
207	571
207	582
207	589
207	591
207	592
207	593
207	595
207	606
207	607
207	608
207	614
207	616
207	624
207	626
207	627
207	633
207	637
207	641
207	655
207	656
207	665
207	676
207	713
207	726
207	731
207	746
207	748
207	752
207	753
207	756
207	761
207	766
207	773
207	775
207	792
207	799
207	807
207	813
207	823
207	828
207	833
207	847
207	851
207	857
207	858
207	870
207	875
207	876
207	880
207	887
207	915
207	918
207	919
207	925
207	929
207	936
207	937
207	948
207	956
207	958
207	962
207	963
207	988
208	2
208	18
208	30
208	37
208	40
208	45
208	47
208	52
208	77
208	90
208	94
208	96
208	110
208	111
208	116
208	118
208	123
208	135
208	138
208	140
208	141
208	143
208	152
208	156
208	177
208	194
208	218
208	219
208	221
208	235
208	237
208	242
208	246
208	247
208	262
208	268
208	269
208	270
208	280
208	292
208	297
208	322
208	328
208	343
208	353
208	378
208	380
208	383
208	413
208	420
208	428
208	454
208	466
208	489
208	491
208	497
208	498
208	511
208	515
208	520
208	552
208	554
208	555
208	556
208	562
208	573
208	575
208	576
208	580
208	590
208	603
208	604
208	612
208	618
208	622
208	629
208	636
208	638
208	644
208	671
208	677
208	694
208	702
208	704
208	710
208	718
208	720
208	721
208	730
208	732
208	747
208	749
208	768
208	771
208	781
208	785
208	787
208	791
208	800
208	801
208	816
208	818
208	820
208	822
208	834
208	859
208	868
208	874
208	877
208	878
208	882
208	891
208	895
208	902
208	904
208	911
208	930
208	939
208	944
208	949
208	952
208	953
208	954
208	957
208	959
208	961
208	968
209	12
209	49
209	55
209	62
209	76
209	80
209	83
209	88
209	99
209	104
209	114
209	131
209	148
209	151
209	155
209	159
209	161
209	162
209	164
209	170
209	172
209	179
209	189
209	204
209	209
209	210
209	213
209	226
209	230
209	233
209	241
209	245
209	259
209	265
209	278
209	288
209	320
209	323
209	335
209	346
209	357
209	360
209	367
209	368
209	379
209	387
209	397
209	399
209	402
209	405
209	409
209	410
209	416
209	436
209	439
209	442
209	465
209	469
209	472
209	478
209	482
209	500
209	503
209	512
209	513
209	518
209	523
209	548
209	563
209	570
209	578
209	619
209	647
209	653
209	670
209	679
209	685
209	688
209	690
209	691
209	701
209	714
209	722
209	728
209	739
209	740
209	754
209	760
209	762
209	765
209	779
209	780
209	783
209	790
209	794
209	797
209	808
209	811
209	827
209	840
209	842
209	844
209	849
209	862
209	869
209	881
209	905
209	909
209	912
209	920
209	969
209	971
210	10
210	23
210	25
210	29
210	54
210	65
210	67
210	87
210	91
210	134
210	139
210	146
210	166
210	171
210	175
210	180
210	182
210	211
210	224
210	229
210	239
210	248
210	249
210	254
210	255
210	281
210	286
210	332
210	351
210	375
210	423
210	445
210	450
210	453
210	457
210	458
210	480
210	496
210	501
210	530
210	541
210	547
210	553
210	566
210	569
210	577
210	579
210	594
210	597
210	601
210	613
210	621
210	625
210	646
210	666
210	673
210	674
210	680
210	682
210	689
210	692
210	698
210	717
210	736
210	744
210	755
210	759
210	777
210	812
210	824
210	826
210	867
210	886
210	897
210	907
210	932
210	935
210	941
210	972
210	975
210	996
211	1
211	6
211	28
211	41
211	63
211	93
211	97
211	119
211	130
211	244
211	263
211	307
211	325
211	339
211	374
211	393
211	430
211	431
211	434
211	435
211	443
211	460
211	468
211	509
211	517
211	529
211	599
211	602
211	605
211	611
211	628
211	634
211	639
211	661
211	668
211	672
211	686
211	716
211	741
211	743
211	757
211	839
211	854
211	885
211	910
211	947
211	979
211	997
212	21
212	24
212	68
212	108
212	293
212	349
212	359
212	441
212	495
212	516
212	632
212	657
212	687
212	825
212	843
212	900
212	908
212	917
212	951
213	398
213	481
213	542
213	923
214	50
214	196
214	206
214	301
214	507
214	973
215	95
215	479
216	284
