Minimo	Corrida
193	136
195	253
195	294
195	295
195	518
195	533
195	773
195	885
195	989
196	19
196	20
196	29
196	35
196	45
196	146
196	150
196	154
196	171
196	177
196	198
196	206
196	218
196	225
196	267
196	283
196	293
196	336
196	370
196	377
196	414
196	467
196	508
196	527
196	589
196	590
196	628
196	631
196	677
196	700
196	855
196	943
197	3
197	44
197	71
197	90
197	101
197	128
197	129
197	160
197	165
197	189
197	201
197	204
197	222
197	261
197	274
197	288
197	326
197	380
197	392
197	420
197	433
197	437
197	454
197	458
197	466
197	477
197	502
197	524
197	537
197	541
197	542
197	547
197	560
197	573
197	596
197	597
197	610
197	614
197	621
197	651
197	655
197	695
197	707
197	714
197	716
197	721
197	762
197	777
197	786
197	832
197	859
197	880
197	888
197	909
197	912
197	918
197	924
197	935
197	949
197	958
197	960
197	977
197	986
197	996
198	2
198	6
198	23
198	25
198	34
198	39
198	57
198	64
198	78
198	79
198	80
198	83
198	92
198	95
198	96
198	117
198	145
198	155
198	163
198	168
198	186
198	203
198	211
198	216
198	229
198	230
198	231
198	250
198	263
198	276
198	284
198	286
198	287
198	290
198	303
198	308
198	312
198	324
198	329
198	332
198	337
198	341
198	358
198	381
198	391
198	396
198	403
198	408
198	416
198	417
198	423
198	432
198	445
198	464
198	468
198	469
198	471
198	474
198	482
198	496
198	532
198	540
198	546
198	555
198	559
198	588
198	600
198	606
198	619
198	626
198	639
198	641
198	642
198	661
198	663
198	673
198	693
198	704
198	709
198	710
198	711
198	718
198	723
198	730
198	731
198	749
198	750
198	752
198	767
198	769
198	792
198	795
198	801
198	803
198	831
198	844
198	849
198	868
198	871
198	883
198	890
198	899
198	902
198	907
198	913
198	916
198	925
198	932
198	936
198	939
198	942
198	965
198	981
198	991
199	1
199	8
199	13
199	22
199	31
199	32
199	37
199	47
199	49
199	52
199	59
199	69
199	70
199	72
199	77
199	86
199	88
199	94
199	99
199	100
199	102
199	103
199	104
199	121
199	125
199	139
199	144
199	158
199	172
199	173
199	175
199	181
199	183
199	197
199	209
199	213
199	221
199	223
199	228
199	235
199	239
199	242
199	245
199	277
199	281
199	282
199	301
199	302
199	304
199	307
199	313
199	314
199	315
199	322
199	327
199	333
199	344
199	345
199	347
199	349
199	351
199	357
199	361
199	366
199	372
199	383
199	389
199	395
199	399
199	401
199	415
199	424
199	425
199	427
199	436
199	460
199	461
199	462
199	479
199	480
199	483
199	495
199	507
199	509
199	512
199	514
199	517
199	523
199	526
199	531
199	534
199	535
199	553
199	554
199	557
199	561
199	567
199	568
199	569
199	577
199	582
199	583
199	594
199	599
199	605
199	608
199	609
199	615
199	625
199	627
199	632
199	636
199	660
199	665
199	674
199	675
199	679
199	686
199	692
199	698
199	706
199	720
199	727
199	729
199	732
199	733
199	736
199	737
199	738
199	754
199	759
199	760
199	766
199	774
199	776
199	781
199	782
199	791
199	798
199	802
199	808
199	810
199	816
199	819
199	822
199	834
199	836
199	837
199	841
199	857
199	864
199	866
199	872
199	874
199	875
199	891
199	900
199	904
199	905
199	906
199	908
199	910
199	911
199	914
199	915
199	917
199	922
199	923
199	933
199	940
199	956
199	959
199	963
199	967
199	972
199	978
199	980
199	997
199	998
200	4
200	7
200	12
200	14
200	18
200	27
200	36
200	38
200	43
200	46
200	51
200	58
200	61
200	63
200	66
200	81
200	87
200	89
200	93
200	97
200	98
200	107
200	108
200	110
200	111
200	115
200	133
200	137
200	138
200	142
200	143
200	147
200	153
200	156
200	162
200	166
200	194
200	195
200	199
200	210
200	214
200	215
200	226
200	240
200	241
200	247
200	251
200	257
200	258
200	264
200	266
200	273
200	285
200	289
200	296
200	297
200	299
200	300
200	306
200	309
200	310
200	311
200	318
200	319
200	328
200	339
200	350
200	353
200	354
200	360
200	378
200	384
200	385
200	386
200	387
200	404
200	431
200	434
200	441
200	450
200	463
200	472
200	478
200	485
200	487
200	492
200	494
200	519
200	521
200	525
200	528
200	536
200	543
200	550
200	552
200	566
200	570
200	572
200	581
200	585
200	595
200	598
200	611
200	612
200	618
200	622
200	623
200	629
200	630
200	633
200	638
200	646
200	648
200	649
200	658
200	659
200	672
200	676
200	678
200	683
200	688
200	699
200	701
200	724
200	725
200	728
200	741
200	743
200	745
200	747
200	761
200	765
200	768
200	779
200	785
200	788
200	790
200	794
200	796
200	799
200	800
200	811
200	812
200	814
200	815
200	817
200	818
200	823
200	824
200	828
200	829
200	830
200	847
200	858
200	860
200	862
200	865
200	870
200	873
200	878
200	892
200	893
200	895
200	896
200	898
200	920
200	926
200	929
200	937
200	944
200	947
200	950
200	952
200	953
200	954
200	957
200	961
200	966
200	968
200	971
200	979
200	988
200	994
201	0
201	9
201	15
201	17
201	21
201	24
201	30
201	41
201	50
201	54
201	55
201	62
201	68
201	74
201	75
201	84
201	109
201	113
201	119
201	123
201	127
201	135
201	149
201	151
201	157
201	161
201	167
201	174
201	176
201	184
201	185
201	187
201	188
201	192
201	193
201	202
201	208
201	217
201	219
201	233
201	234
201	236
201	243
201	249
201	256
201	262
201	269
201	271
201	272
201	278
201	280
201	291
201	316
201	317
201	331
201	334
201	335
201	359
201	362
201	363
201	364
201	368
201	371
201	375
201	379
201	382
201	388
201	397
201	406
201	407
201	411
201	412
201	422
201	426
201	428
201	438
201	439
201	440
201	443
201	449
201	452
201	491
201	493
201	501
201	503
201	506
201	515
201	516
201	520
201	529
201	539
201	544
201	548
201	576
201	579
201	586
201	601
201	602
201	616
201	617
201	635
201	644
201	647
201	653
201	656
201	657
201	662
201	666
201	668
201	670
201	680
201	685
201	689
201	691
201	696
201	705
201	717
201	739
201	742
201	751
201	755
201	756
201	757
201	758
201	770
201	771
201	772
201	778
201	780
201	787
201	813
201	820
201	821
201	827
201	833
201	835
201	846
201	850
201	852
201	853
201	854
201	856
201	861
201	869
