Minimo	Corrida
202	378
202	545
203	10
203	80
203	244
203	527
203	566
203	634
203	644
203	670
203	864
203	869
203	977
204	11
204	59
204	64
204	68
204	79
204	100
204	185
204	200
204	221
204	296
204	318
204	380
204	392
204	421
204	478
204	495
204	506
204	543
204	584
204	595
204	738
204	743
204	750
204	755
204	760
204	853
204	926
204	932
204	973
204	994
205	4
205	20
205	25
205	38
205	40
205	41
205	50
205	77
205	81
205	86
205	97
205	117
205	126
205	127
205	145
205	165
205	189
205	192
205	193
205	194
205	197
205	242
205	263
205	273
205	274
205	282
205	288
205	298
205	310
205	313
205	320
205	343
205	374
205	375
205	385
205	399
205	401
205	410
205	424
205	432
205	464
205	474
205	502
205	504
205	505
205	509
205	521
205	526
205	536
205	548
205	567
205	570
205	609
205	614
205	618
205	621
205	629
205	646
205	653
205	672
205	676
205	688
205	691
205	715
205	716
205	732
205	779
205	781
205	782
205	787
205	791
205	792
205	794
205	799
205	802
205	811
205	816
205	823
205	844
205	861
205	862
205	873
205	883
205	886
205	931
205	950
205	955
205	985
206	19
206	69
206	76
206	91
206	94
206	102
206	123
206	148
206	149
206	157
206	159
206	163
206	184
206	231
206	248
206	249
206	252
206	264
206	287
206	319
206	326
206	332
206	340
206	342
206	347
206	367
206	369
206	386
206	395
206	407
206	427
206	430
206	435
206	461
206	470
206	479
206	490
206	501
206	503
206	518
206	520
206	522
206	532
206	538
206	540
206	549
206	555
206	558
206	578
206	613
206	616
206	641
206	650
206	663
206	664
206	671
206	690
206	692
206	705
206	707
206	735
206	740
206	744
206	763
206	765
206	766
206	793
206	807
206	813
206	829
206	874
206	879
206	891
206	896
206	912
206	920
206	929
206	933
206	941
206	958
206	962
206	970
206	975
206	981
206	995
206	999
207	6
207	9
207	13
207	14
207	26
207	32
207	39
207	44
207	51
207	52
207	53
207	57
207	60
207	83
207	84
207	87
207	93
207	99
207	101
207	109
207	113
207	115
207	122
207	130
207	131
207	135
207	154
207	173
207	181
207	183
207	187
207	196
207	205
207	209
207	212
207	216
207	219
207	226
207	229
207	238
207	239
207	247
207	250
207	257
207	260
207	262
207	271
207	277
207	281
207	283
207	302
207	303
207	308
207	317
207	321
207	322
207	323
207	327
207	335
207	337
207	352
207	355
207	357
207	360
207	365
207	388
207	389
207	402
207	405
207	406
207	413
207	415
207	422
207	423
207	426
207	439
207	441
207	452
207	455
207	459
207	475
207	476
207	480
207	482
207	496
207	507
207	511
207	512
207	515
207	525
207	529
207	534
207	541
207	542
207	544
207	547
207	554
207	556
207	557
207	560
207	561
207	562
207	569
207	577
207	582
207	586
207	590
207	596
207	597
207	604
207	606
207	623
207	625
207	627
207	628
207	632
207	633
207	637
207	638
207	640
207	647
207	659
207	660
207	661
207	675
207	677
207	679
207	684
207	695
207	700
207	702
207	706
207	717
207	722
207	726
207	728
207	730
207	731
207	736
207	739
207	741
207	758
207	761
207	773
207	797
207	815
207	821
207	825
207	834
207	845
207	846
207	850
207	854
207	855
207	859
207	875
207	885
207	899
207	903
207	909
207	911
207	919
207	922
207	934
207	945
207	948
207	956
207	964
207	969
207	997
208	1
208	2
208	5
208	15
208	17
208	21
208	27
208	31
208	34
208	37
208	42
208	43
208	46
208	49
208	55
208	56
208	58
208	73
208	75
208	82
208	85
208	89
208	96
208	106
208	108
208	114
208	116
208	118
208	133
208	134
208	141
208	146
208	147
208	156
208	160
208	161
208	164
208	167
208	170
208	178
208	179
208	180
208	188
208	191
208	198
208	202
208	203
208	206
208	208
208	214
208	215
208	222
208	224
208	227
208	228
208	233
208	234
208	235
208	237
208	243
208	256
208	258
208	265
208	268
208	278
208	284
208	289
208	292
208	295
208	300
208	307
208	311
208	328
208	329
208	334
208	350
208	351
208	353
208	358
208	362
208	368
208	373
208	376
208	381
208	382
208	383
208	390
208	391
208	400
208	403
208	404
208	409
208	412
208	416
208	418
208	429
208	436
208	440
208	443
208	449
208	450
208	451
208	453
208	457
208	458
208	487
208	489
208	491
208	497
208	510
208	519
208	531
208	537
208	550
208	563
208	565
208	571
208	572
208	573
208	574
208	581
208	587
208	589
208	592
208	593
208	598
208	602
208	612
208	617
208	630
208	631
208	643
208	645
208	654
208	655
208	656
208	665
208	668
208	674
208	680
208	681
208	686
208	693
208	697
208	710
208	714
208	719
208	720
208	751
208	754
208	759
208	764
208	768
208	769
208	771
208	775
208	777
208	780
208	796
208	801
208	803
208	804
208	817
208	820
208	840
208	841
208	842
208	847
208	851
208	856
208	866
208	868
208	870
208	878
208	880
208	882
208	890
208	895
208	900
208	908
208	913
208	915
208	916
208	918
208	935
208	940
208	943
208	944
208	946
208	953
208	957
208	961
208	965
208	971
208	986
208	987
208	988
208	992
208	993
208	998
209	22
209	24
209	29
209	30
209	33
209	45
209	47
209	48
209	62
209	63
209	70
209	71
209	92
209	95
209	104
209	110
209	119
209	120
209	140
209	142
209	150
209	151
209	153
209	168
209	169
209	171
209	172
209	174
209	190
209	195
209	199
209	207
209	210
209	220
209	232
209	236
209	246
209	255
209	266
209	270
209	275
209	279
209	280
209	285
209	290
209	291
209	293
209	297
209	299
209	301
209	309
209	314
209	324
209	325
209	339
209	346
209	348
209	349
209	354
209	356
209	359
209	366
209	372
209	384
209	394
209	408
209	411
209	414
209	420
209	433
209	438
209	442
209	444
209	447
209	448
209	456
209	460
209	463
209	465
209	467
209	469
209	472
209	477
209	484
209	485
209	488
209	492
209	493
209	500
209	508
209	513
209	535
209	539
209	546
209	585
209	591
209	600
209	607
209	608
209	610
209	619
209	622
209	624
209	635
209	636
209	642
209	648
209	662
209	667
209	669
209	673
209	682
209	683
209	685
209	687
209	696
209	698
209	712
209	721
209	725
209	727
209	733
209	742
209	745
209	746
209	748
209	749
209	752
209	757
209	762
209	770
209	772
209	786
209	789
209	795
209	800
209	806
209	809
209	810
209	822
209	830
209	833
209	835
209	838
209	839
209	858
209	867
209	871
209	876
209	884
209	887
209	889
209	897
209	902
209	905
209	917
209	924
209	930
209	937
209	938
209	954
209	959
209	968
209	972
209	976
209	979
209	989
209	990
209	991
210	7
210	16
210	23
210	28
210	36
210	54
210	65
210	66
210	67
210	88
210	90
210	98
210	103
210	105
210	112
210	124
210	125
210	128
210	136
210	139
210	143
210	176
210	177
210	213
210	223
210	230
210	240
210	245
210	253
210	286
210	294
210	305
210	315
210	316
210	330
210	333
210	338
210	344
210	345
210	361
210	370
210	371
210	393
210	396
210	398
210	425
210	434
210	437
210	468
210	471
210	481
210	486
210	553
210	559
210	564
210	575
210	576
210	579
210	580
210	583
210	601
210	603
210	615
210	626
210	639
210	649
210	678
210	703
210	708
210	709
210	724
210	753
210	767
210	784
210	788
210	805
210	808
210	812
210	814
210	818
210	819
210	827
210	828
210	832
210	837
210	849
210	857
210	877
210	893
210	894
210	904
210	910
210	914
210	921
210	923
210	939
210	942
210	947
210	949
210	951
210	963
210	966
210	978
210	983
210	996
211	0
211	8
211	12
211	74
211	107
211	121
211	129
211	144
211	162
211	166
211	182
211	186
211	201
211	204
211	218
211	241
211	251
211	254
211	259
211	261
211	269
211	272
211	276
211	304
211	312
211	331
211	336
211	341
211	364
211	377
211	397
211	419
211	428
211	431
211	446
211	454
211	466
211	483
211	498
