Minimo	Corrida
50	4868
50	6504
50	7779
50	8615
51	79
51	237
51	257
51	370
51	376
51	421
51	496
51	726
51	750
51	895
51	1193
51	1319
51	1382
51	1896
51	1927
51	1949
51	2757
51	2818
51	3052
51	3468
51	3544
51	3909
51	4202
51	4929
51	5737
51	6130
51	6152
51	6196
51	6222
51	6791
51	7361
51	7463
51	7479
51	7823
51	7954
51	8273
51	8543
51	8569
51	8721
51	8827
51	9392
51	9665
51	9878
51	9891
52	50
52	99
52	130
52	136
52	207
52	231
52	259
52	286
52	292
52	334
52	467
52	572
52	603
52	611
52	653
52	671
52	715
52	736
52	784
52	790
52	800
52	801
52	832
52	840
52	857
52	865
52	878
52	935
52	1039
52	1130
52	1164
52	1173
52	1218
52	1245
52	1381
52	1438
52	1471
52	1482
52	1493
52	1510
52	1535
52	1562
52	1643
52	1669
52	1812
52	1905
52	1906
52	1910
52	1961
52	2063
52	2083
52	2114
52	2154
52	2225
52	2261
52	2308
52	2336
52	2363
52	2418
52	2565
52	2573
52	2654
52	2690
52	2706
52	2729
52	2738
52	2752
52	2791
52	2828
52	2833
52	2899
52	2960
52	3032
52	3044
52	3083
52	3086
52	3088
52	3179
52	3192
52	3218
52	3240
52	3258
52	3299
52	3306
52	3338
52	3361
52	3386
52	3387
52	3393
52	3406
52	3423
52	3438
52	3459
52	3498
52	3503
52	3634
52	3679
52	3692
52	3699
52	3727
52	3818
52	3838
52	3849
52	3872
52	3886
52	3923
52	3985
52	4047
52	4095
52	4111
52	4181
52	4226
52	4242
52	4247
52	4270
52	4275
52	4302
52	4315
52	4339
52	4349
52	4431
52	4444
52	4464
52	4546
52	4578
52	4594
52	4596
52	4605
52	4609
52	4800
52	4840
52	4907
52	4955
52	5199
52	5207
52	5210
52	5235
52	5282
52	5288
52	5344
52	5354
52	5398
52	5423
52	5438
52	5454
52	5505
52	5538
52	5591
52	5601
52	5610
52	5676
52	5833
52	5837
52	5838
52	5840
52	5874
52	6052
52	6071
52	6099
52	6111
52	6194
52	6213
52	6226
52	6266
52	6268
52	6286
52	6287
52	6311
52	6336
52	6406
52	6434
52	6438
52	6457
52	6477
52	6496
52	6517
52	6585
52	6602
52	6608
52	6702
52	6730
52	6836
52	6847
52	6880
52	6887
52	6888
52	6904
52	6964
52	7071
52	7081
52	7084
52	7130
