Minimo	Corrida
91	889
91	4274
91	7155
91	9852
92	53
92	155
92	601
92	672
92	704
92	803
92	926
92	1246
92	1254
92	1317
92	1642
92	1778
92	1783
92	2421
92	2513
92	2550
92	2579
92	2764
92	2865
92	2893
92	3187
92	3204
92	3301
92	3753
92	3774
92	4195
92	4306
92	4405
92	4472
92	4492
92	4628
92	4668
92	4716
92	4725
92	4775
92	5203
92	5521
92	5602
92	5715
92	6281
92	6428
92	6619
92	6964
92	7154
92	7293
92	7312
92	7320
92	7403
92	7559
92	7576
92	7848
92	7948
92	7974
92	8130
92	8285
92	8448
92	8737
92	8801
92	8968
92	9188
92	9232
92	9285
92	9589
92	9697
92	9845
92	9986
93	21
93	48
93	55
93	56
93	74
93	127
93	164
93	165
93	221
93	246
93	255
93	273
93	396
93	400
93	404
93	528
93	556
93	563
93	572
93	579
93	656
93	733
93	738
93	749
93	754
93	760
93	765
93	815
93	817
93	840
93	843
93	860
93	882
93	978
93	990
93	997
93	1007
93	1010
93	1031
93	1072
93	1099
93	1107
93	1118
93	1125
93	1132
93	1216
93	1233
93	1249
93	1297
93	1304
93	1323
93	1340
93	1361
93	1369
93	1407
93	1452
93	1458
93	1459
93	1483
93	1495
93	1553
93	1561
93	1573
93	1651
93	1653
93	1687
93	1690
93	1700
93	1753
93	1755
93	1777
93	1807
93	1812
93	1830
93	1831
93	1841
93	1854
93	1897
93	1903
93	1914
93	1920
93	1927
93	1963
93	1965
93	1998
93	2001
93	2003
93	2044
93	2058
93	2096
93	2124
93	2130
93	2143
93	2148
93	2161
93	2178
93	2194
93	2300
93	2306
93	2330
93	2365
93	2369
93	2392
93	2399
93	2423
93	2425
93	2439
93	2477
93	2479
93	2493
93	2539
93	2543
93	2580
93	2604
93	2634
93	2640
93	2652
93	2676
93	2682
93	2688
93	2689
93	2701
93	2715
93	2717
93	2732
93	2802
93	2813
93	2848
93	2862
93	2870
93	2882
93	2892
93	2907
93	2919
93	2927
93	2938
93	2942
93	2945
93	2946
93	2955
93	2973
93	3041
93	3066
93	3067
93	3068
93	3112
93	3131
93	3158
93	3165
93	3166
93	3216
93	3243
93	3257
93	3282
93	3284
93	3313
93	3351
93	3361
93	3385
93	3400
93	3474
93	3489
93	3496
93	3503
93	3518
93	3527
93	3579
93	3603
93	3633
93	3644
93	3661
93	3673
93	3695
93	3735
93	3754
93	3791
93	3796
93	3903
93	3917
93	3941
93	3944
93	4016
93	4057
93	4110
93	4122
93	4137
93	4143
93	4144
93	4148
93	4174
93	4196
93	4210
93	4213
93	4228
93	4240
93	4253
93	4264
93	4313
93	4329
93	4335
93	4376
93	4432
93	4450
93	4464
93	4485
93	4529
93	4532
93	4547
93	4564
93	4588
93	4621
93	4655
93	4674
93	4703
93	4711
93	4726
93	4760
93	4770
93	4804
93	4810
93	4830
93	4852
93	4866
93	4945
93	4948
93	4959
93	4969
93	4973
93	4991
93	5000
93	5017
93	5032
93	5042
93	5051
93	5055
93	5056
93	5094
93	5095
93	5131
93	5133
93	5142
93	5155
93	5200
93	5207
93	5237
93	5278
93	5350
93	5367
93	5407
93	5426
93	5451
93	5487
93	5534
93	5535
93	5537
93	5562
93	5575
93	5608
93	5637
93	5668
93	5716
93	5719
93	5730
93	5772
93	5867
93	5900
93	5915
93	5934
93	5959
93	6028
93	6034
93	6071
93	6083
93	6129
93	6137
93	6167
93	6184
93	6190
93	6218
93	6238
93	6265
93	6304
93	6348
93	6405
93	6419
93	6433
93	6450
93	6482
93	6545
93	6605
93	6610
93	6675
93	6698
93	6708
93	6784
93	6797
93	6804
93	6859
93	6881
93	6886
93	6891
93	6912
93	6913
93	6931
93	6932
93	6935
93	6946
93	6991
93	7013
93	7016
93	7059
93	7085
93	7102
93	7127
93	7225
93	7238
93	7280
93	7286
93	7321
93	7363
93	7390
93	7417
93	7421
93	7450
93	7454
93	7462
93	7469
93	7500
93	7513
93	7563
93	7570
93	7611
93	7614
93	7624
93	7646
93	7649
93	7667
93	7683
93	7709
93	7723
93	7783
93	7824
93	7858
93	7899
93	7931
93	7938
93	7942
93	7972
93	7986
93	7989
93	8001
93	8008
93	8038
93	8067
93	8085
93	8089
93	8090
93	8113
93	8116
93	8145
93	8158
93	8218
93	8251
93	8369
93	8394
93	8409
93	8442
93	8453
93	8469
93	8577
93	8612
93	8627
93	8655
93	8666
93	8683
93	8684
93	8693
93	8710
93	8726
93	8868
93	8906
93	8907
93	8924
93	8931
93	8980
93	9003
93	9022
93	9083
93	9097
93	9164
93	9212
93	9215
93	9235
93	9239
93	9259
93	9283
93	9295
93	9299
93	9344
93	9350
93	9412
93	9463
93	9512
93	9536
93	9574
93	9587
93	9606
93	9693
93	9709
93	9714
93	9731
93	9753
93	9779
93	9780
93	9795
93	9817
93	9826
93	9850
93	9861
93	9868
93	9881
93	9882
93	9891
93	9929
93	9941
94	8
94	9
94	16
94	31
94	33
94	38
94	42
94	43
94	46
94	62
94	79
94	81
94	86
94	87
94	95
94	96
94	107
94	111
94	124
94	128
94	130
94	132
94	135
94	140
94	143
94	148
94	152
94	153
94	169
94	182
94	194
94	195
94	199
94	212
94	214
94	226
94	227
94	228
94	232
94	238
94	247
94	251
94	252
94	260
94	264
94	272
94	278
94	293
94	296
94	306
94	308
94	319
94	322
94	329
94	332
94	336
94	339
94	343
94	348
94	351
94	377
94	388
94	389
94	393
94	397
94	405
94	408
94	410
94	412
94	417
94	419
94	425
94	426
94	427
94	432
94	443
94	448
94	483
94	492
94	497
94	499
94	503
94	504
94	505
94	507
94	510
94	521
94	524
94	533
94	538
94	539
94	558
94	568
94	569
94	570
94	574
94	577
94	587
94	589
94	595
94	596
94	603
94	617
94	623
94	625
94	632
94	644
94	646
94	653
94	661
94	664
94	669
94	671
94	694
94	697
94	699
94	700
94	703
94	708
94	717
94	723
94	725
94	734
94	737
94	743
94	747
94	750
94	755
94	757
94	759
94	794
94	799
94	804
94	809
94	825
94	827
94	834
94	845
94	848
94	849
94	873
94	886
94	890
94	894
94	919
94	920
94	928
94	930
94	938
94	940
94	948
94	957
94	962
94	974
94	998
94	999
94	1000
94	1014
94	1020
94	1024
94	1032
94	1033
94	1035
94	1047
94	1058
94	1060
94	1079
94	1093
94	1095
94	1101
94	1106
94	1116
94	1123
94	1124
94	1127
94	1134
94	1135
94	1146
94	1153
94	1155
94	1163
94	1177
94	1182
94	1185
94	1202
94	1203
94	1205
94	1210
94	1211
94	1215
94	1220
94	1231
94	1250
94	1257
94	1260
94	1261
94	1263
94	1264
94	1268
94	1272
94	1275
94	1290
94	1293
94	1295
94	1298
94	1300
94	1311
94	1316
94	1324
94	1336
94	1345
94	1348
94	1351
94	1370
