Minimo	Corrida
525	92
527	9
527	38
527	68
528	30
528	31
528	50
529	0
529	28
529	33
529	47
529	66
529	77
529	98
530	1
530	44
530	45
530	53
530	59
530	61
530	70
530	75
530	76
530	84
530	88
530	90
531	8
531	18
531	22
531	25
531	40
531	60
531	65
531	87
532	10
532	37
532	39
532	43
532	51
532	54
532	56
532	78
532	80
532	85
532	89
532	96
533	4
533	11
533	14
533	21
533	24
533	26
533	29
533	32
533	34
533	46
533	64
533	79
533	94
533	95
534	5
534	12
534	16
534	17
534	19
534	27
534	35
534	55
534	57
534	67
534	71
534	81
534	82
535	3
535	7
535	13
535	48
535	52
535	58
535	63
535	72
535	83
535	91
535	99
536	20
536	42
536	49
536	97
537	6
537	15
537	23
537	41
537	62
537	86
538	2
538	73
538	93
539	36
540	69
540	74
