Minimo	Corrida
334	3
336	2
336	6
336	41
336	42
336	44
336	55
336	98
337	10
337	13
337	15
337	17
337	18
337	26
337	32
337	35
337	49
337	50
337	54
337	57
337	58
337	60
337	63
337	65
337	66
337	68
337	77
337	78
337	83
337	90
338	5
338	12
338	19
338	22
338	24
338	27
338	28
338	31
338	47
338	51
338	59
338	61
338	70
338	71
338	72
338	75
338	76
338	79
338	84
338	85
338	88
338	92
338	94
338	95
338	96
339	0
339	1
339	8
339	9
339	14
339	16
339	21
339	25
339	29
339	34
339	36
339	40
339	45
339	46
339	48
339	69
339	74
339	81
339	91
340	53
340	80
340	86
340	89
340	99
341	11
341	20
341	37
341	52
341	67
341	82
341	97
342	7
342	43
342	56
342	64
342	73
342	93
343	23
343	38
343	39
343	62
343	87
344	4
344	30
345	33
