Minimo	Corrida
369	21
369	92
371	7
371	19
371	33
371	41
371	48
371	53
371	59
371	71
371	77
371	79
371	82
371	84
372	0
372	5
372	17
372	28
372	43
372	45
372	47
372	51
372	64
372	87
373	3
373	4
373	10
373	23
373	27
373	30
373	37
373	54
373	56
373	66
373	72
373	83
373	90
373	91
374	9
374	13
374	32
374	39
374	40
374	58
374	70
374	81
374	86
374	89
374	93
375	1
375	2
375	6
375	12
375	20
375	24
375	42
375	63
375	65
375	69
375	75
375	76
375	78
375	88
375	95
375	99
376	8
376	14
376	15
376	25
376	38
376	52
376	73
376	96
377	11
377	18
377	26
377	36
377	49
377	55
377	60
377	74
377	80
377	97
378	16
378	22
378	31
378	44
378	85
378	94
378	98
379	29
379	34
379	46
379	50
379	57
379	61
379	62
379	67
379	68
380	35
