Minimo	Corrida
528	3
528	89
528	92
529	20
529	34
529	39
529	47
529	99
530	6
530	38
530	56
530	63
530	67
530	73
530	83
530	86
530	87
530	96
531	17
531	19
531	35
531	46
531	77
531	79
531	98
532	0
532	2
532	4
532	8
532	10
532	11
532	13
532	22
532	28
532	31
532	32
532	33
532	36
532	44
532	49
532	64
532	72
532	76
532	78
532	81
532	88
532	95
532	97
533	1
533	5
533	9
533	14
533	24
533	50
533	54
533	68
533	74
533	75
533	84
533	85
533	94
534	15
534	18
534	26
534	27
534	30
534	42
534	43
534	48
534	52
534	53
534	57
534	58
534	62
534	71
534	80
534	90
535	7
535	16
535	21
535	41
535	45
535	51
535	60
535	61
535	65
535	66
536	25
536	29
536	37
536	40
536	69
537	23
537	91
537	93
538	12
538	70
540	55
540	59
540	82
