Minimo	Corrida
500	12
500	34
500	45
500	57
500	68
500	76
500	86
500	97
500	98
500	176
500	249
500	343
500	367
500	386
500	488
500	500
500	514
500	544
500	553
500	624
500	641
500	735
500	775
500	786
500	802
500	910
500	948
500	978
501	1
501	2
501	10
501	20
501	27
501	32
501	37
501	43
501	52
501	55
501	61
501	63
501	80
501	88
501	91
501	95
501	101
501	117
501	119
501	120
501	124
501	144
501	151
501	158
501	167
501	169
501	173
501	179
501	185
501	194
501	200
501	201
501	207
501	210
501	211
501	215
501	217
501	218
501	219
501	233
501	238
501	242
501	250
501	254
501	256
501	260
501	263
501	264
501	268
501	281
501	282
501	285
501	292
501	294
501	295
501	296
501	304
501	306
501	312
501	313
501	319
501	332
501	334
501	336
501	338
501	341
501	356
501	370
501	374
501	377
501	381
501	383
501	385
501	387
501	389
501	394
501	402
501	404
501	410
501	412
501	422
501	423
501	425
501	427
501	432
501	435
501	443
501	446
501	447
501	448
501	454
501	456
501	460
501	463
501	464
501	465
501	471
501	473
501	482
501	485
501	493
501	521
501	543
501	551
501	571
501	575
501	577
501	580
501	590
501	595
501	601
501	614
501	616
501	618
501	623
501	627
501	634
501	640
501	642
501	647
501	652
501	660
501	665
501	672
501	680
501	686
501	695
501	716
501	726
501	730
501	731
501	732
501	733
501	734
501	736
501	738
501	745
501	748
501	751
501	759
501	766
501	768
501	772
501	773
501	778
501	782
501	790
501	791
501	793
501	797
501	809
501	810
501	813
501	817
501	821
501	831
501	837
501	839
501	844
501	846
501	848
501	851
501	854
501	855
501	868
501	869
501	870
501	871
501	875
501	878
501	880
501	882
501	885
501	897
501	903
501	905
501	911
501	912
501	917
501	922
501	929
501	930
501	931
501	940
501	946
501	962
501	964
501	971
501	994
501	995
502	0
502	3
502	6
502	7
502	23
502	25
502	35
502	41
502	42
502	54
502	64
502	69
502	71
502	72
502	74
502	77
502	82
502	84
502	89
502	90
502	92
502	94
502	100
502	103
502	106
502	108
502	109
502	114
502	118
502	122
502	123
502	127
502	134
502	135
502	137
502	140
502	141
502	148
502	150
502	156
502	159
502	160
502	163
502	168
502	171
502	172
502	174
502	178
502	180
502	184
502	189
502	190
502	191
502	192
502	205
502	208
502	209
502	213
502	214
502	221
502	222
502	225
502	226
502	228
502	230
502	237
502	239
502	240
502	244
502	248
502	252
502	253
502	261
502	267
502	269
502	271
502	272
502	274
502	275
502	277
502	278
502	280
502	284
502	286
502	289
502	291
502	293
502	297
502	301
502	302
502	303
502	305
502	310
502	311
502	314
502	318
502	322
502	324
502	329
502	330
502	331
502	333
502	335
502	337
502	339
502	344
502	347
502	351
502	352
502	353
502	355
502	358
502	361
502	375
502	378
502	379
502	380
502	391
502	392
502	395
502	396
502	398
502	400
502	411
502	413
502	417
502	420
502	421
502	431
502	433
502	434
502	438
502	439
502	442
502	444
502	449
502	451
502	452
502	459
502	466
502	467
502	468
502	477
502	479
502	484
502	486
502	487
502	498
502	502
502	505
502	509
502	512
502	513
502	518
502	519
502	527
502	529
502	531
502	535
502	540
502	549
502	554
502	560
502	565
502	567
502	572
502	579
502	587
502	588
502	589
502	591
502	596
502	598
502	600
502	607
502	608
502	611
502	615
502	621
502	630
502	637
502	638
502	644
502	648
502	655
502	656
502	658
502	659
502	662
502	669
502	675
502	677
502	689
502	692
502	693
502	699
502	702
502	703
502	704
502	705
502	710
502	712
502	714
502	718
502	721
502	722
502	724
502	728
502	737
502	739
502	740
502	741
502	742
502	743
502	746
502	747
502	749
502	750
502	753
502	756
502	758
502	779
502	780
502	781
502	787
502	792
502	795
502	799
502	800
502	805
502	808
502	812
502	815
502	819
502	820
502	823
502	827
502	830
502	836
502	838
502	840
502	845
502	857
502	859
502	860
502	863
502	866
502	867
502	888
502	889
502	890
502	892
502	893
502	894
502	898
502	900
502	901
502	906
502	914
502	919
502	923
502	926
502	928
502	932
502	933
502	934
502	938
502	943
502	944
502	947
502	950
502	955
502	956
502	958
502	965
502	967
502	970
502	973
502	975
502	977
502	981
502	984
502	986
502	988
502	997
503	9
503	18
503	26
503	28
503	29
503	30
503	33
503	36
503	39
503	46
503	49
503	50
503	53
503	58
503	59
503	60
503	70
503	73
503	81
503	83
503	87
503	93
503	99
503	104
503	105
503	107
503	111
503	113
503	115
503	116
503	131
503	132
503	139
503	149
503	152
503	165
503	166
503	170
503	181
503	182
503	187
503	193
503	195
503	196
503	197
503	198
503	212
503	223
503	245
503	262
503	265
503	273
503	276
503	279
503	287
503	288
503	290
503	298
503	300
503	308
503	315
503	316
503	317
503	325
503	326
503	327
503	340
503	345
503	346
503	348
503	350
503	354
503	357
503	359
503	362
503	363
503	366
503	368
503	369
503	371
503	376
503	382
503	384
503	390
503	397
503	399
503	401
503	403
503	405
503	407
503	414
503	419
503	428
503	430
503	440
503	455
503	457
503	458
503	474
503	475
503	476
503	481
503	483
503	490
503	491
503	496
503	501
503	507
503	510
503	511
503	516
503	517
503	520
503	522
503	523
503	524
503	525
503	528
503	530
503	536
503	537
503	547
503	548
503	550
503	555
503	556
503	557
503	559
503	564
503	568
503	570
503	581
503	583
503	584
503	585
503	593
503	594
503	599
503	602
503	604
503	609
503	610
503	613
503	619
503	622
503	631
503	632
503	643
503	649
503	650
503	657
503	663
503	664
503	667
503	671
503	674
503	676
503	681
503	683
503	684
503	685
503	688
503	690
503	694
503	697
503	707
503	711
503	715
503	719
503	723
503	727
503	729
503	752
503	754
503	755
503	757
503	763
503	765
503	770
503	771
503	776
503	777
503	783
503	788
503	794
503	796
503	814
503	816
503	828
503	832
503	834
503	835
503	849
503	850
503	852
503	858
503	864
503	872
503	873
503	879
503	883
503	887
503	895
503	896
503	899
503	902
503	904
503	908
503	916
503	918
503	921
503	924
503	936
503	939
503	949
503	951
503	952
503	957
503	959
503	966
503	969
503	974
503	979
503	982
503	985
503	987
503	993
504	5
504	8
504	13
504	15
504	16
504	19
504	24
504	31
504	44
504	47
504	48
504	56
504	62
504	66
504	79
504	110
504	112
504	125
504	129
504	142
504	143
504	145
504	155
504	157
504	161
504	164
504	175
504	177
504	188
504	199
504	202
504	203
504	206
504	216
504	224
504	227
504	229
504	231
504	246
504	255
504	257
504	258
504	270
504	283
504	307
504	309
504	321
504	323
504	342
504	349
504	365
504	372
504	373
504	388
504	408
504	409
504	416
504	424
504	426
504	429
504	445
