Minimo	Corrida
334	123
334	250
334	318
334	339
334	414
335	2
335	21
335	26
335	28
335	33
335	62
335	119
335	141
335	149
335	161
335	177
335	188
335	212
335	225
335	261
335	288
335	308
335	326
335	351
335	358
335	408
335	424
335	475
335	492
335	535
335	542
335	547
335	560
335	578
335	582
335	585
335	589
335	597
335	611
335	622
335	678
335	716
335	743
335	791
335	858
335	865
335	889
335	891
335	892
335	953
335	964
335	985
335	988
335	992
336	0
336	19
336	25
336	30
336	40
336	45
336	52
336	70
336	76
336	77
336	95
336	103
336	109
336	115
336	118
336	128
336	135
336	151
336	155
336	162
336	163
336	168
336	174
336	180
336	183
336	191
336	208
336	215
336	220
336	224
336	229
336	234
336	237
336	240
336	251
336	257
336	259
336	275
336	279
336	280
336	284
336	290
336	292
336	299
336	310
336	311
336	329
336	352
336	360
336	366
336	367
336	380
336	389
336	400
336	401
336	409
336	416
336	425
336	429
336	436
336	439
336	448
336	449
336	454
336	460
336	463
336	476
336	488
336	497
336	504
336	511
336	519
336	524
336	528
336	543
336	548
336	574
336	583
336	586
336	587
336	590
336	594
336	616
336	626
336	631
336	645
336	646
336	663
336	664
336	668
336	672
336	673
336	680
336	681
336	685
336	689
336	690
336	697
336	702
336	707
336	710
336	711
336	717
336	726
336	727
336	730
336	731
336	741
336	748
336	758
336	773
336	779
336	782
336	789
336	793
336	794
336	804
336	805
336	829
336	833
336	843
336	845
336	847
336	868
336	871
336	881
336	884
336	888
336	893
336	906
336	912
336	915
336	916
336	919
336	933
336	934
336	938
336	942
336	960
336	961
336	971
336	973
336	978
336	982
337	4
337	5
337	7
337	8
337	13
337	15
337	24
337	27
337	29
337	35
337	36
337	38
337	41
337	42
337	46
337	48
337	51
337	54
337	57
337	60
337	65
337	67
337	73
337	74
337	78
337	79
337	90
337	91
337	105
337	106
337	108
337	111
337	113
337	117
337	121
337	131
337	133
337	137
337	138
337	142
337	147
337	159
337	160
337	172
337	173
337	176
337	179
337	181
337	190
337	193
337	195
337	199
337	201
337	202
337	207
337	209
337	222
337	236
337	238
337	249
337	263
337	270
337	272
337	273
337	278
337	283
337	285
337	286
337	291
337	293
337	298
337	300
337	304
337	306
337	313
337	316
337	317
337	328
337	330
337	331
337	336
337	338
337	340
337	341
337	353
337	355
337	356
337	359
337	363
337	364
337	386
337	388
337	391
337	392
337	393
337	404
337	405
337	406
337	417
337	418
337	421
337	433
337	434
337	440
337	443
337	444
337	458
337	469
337	474
337	478
337	479
337	480
337	486
337	487
337	490
337	491
337	494
337	495
337	502
337	505
337	506
337	510
337	512
337	513
337	521
337	527
337	531
337	533
337	540
337	549
337	550
337	551
337	553
337	554
337	555
337	557
337	559
337	566
337	569
337	573
337	579
337	584
337	592
337	595
337	620
337	635
337	639
337	656
337	657
337	660
337	661
337	662
337	670
337	674
337	677
337	686
337	687
337	693
337	694
337	703
337	705
337	709
337	713
337	723
337	734
337	735
337	737
337	740
337	742
337	745
337	746
337	751
337	752
337	757
337	763
337	766
337	777
337	792
337	795
337	810
337	816
337	822
337	823
337	832
337	850
337	853
337	856
337	860
337	861
337	864
337	866
337	869
337	870
337	873
337	874
337	880
337	885
337	909
337	914
337	926
337	927
337	939
337	941
337	944
337	945
337	947
337	948
337	952
337	968
337	981
337	991
337	994
337	995
337	997
338	11
338	12
338	16
338	20
338	34
338	37
338	43
338	44
338	59
338	61
338	63
338	71
338	75
338	80
338	81
338	83
338	86
338	89
338	93
338	94
338	96
338	100
338	102
338	110
338	112
338	116
338	122
338	127
338	130
338	136
338	139
338	143
338	148
338	150
338	164
338	171
338	184
338	192
338	194
338	204
338	205
338	206
338	210
338	214
338	216
338	223
338	226
338	228
338	231
338	233
338	235
338	242
338	243
338	244
338	247
338	254
338	264
338	266
338	271
338	289
338	294
338	295
338	297
338	301
338	302
338	303
338	305
338	309
338	314
338	315
338	323
338	325
338	337
338	347
338	348
338	350
338	365
338	371
338	372
338	374
338	377
338	381
338	382
338	383
338	384
338	390
338	394
338	399
338	407
338	413
338	422
338	426
338	427
338	430
338	437
338	441
338	452
338	456
338	457
338	461
338	462
338	465
338	466
338	496
338	499
338	514
338	518
338	523
338	532
338	538
338	541
338	544
338	552
338	565
338	567
338	568
338	572
338	576
338	591
338	596
338	603
338	607
338	612
338	614
338	615
338	617
338	625
338	629
338	632
338	640
338	642
338	650
338	653
338	667
338	669
338	676
338	679
338	683
338	688
338	691
338	699
338	712
338	721
338	722
338	725
338	733
338	738
338	739
338	747
338	754
338	760
338	765
338	775
338	780
338	781
338	784
338	790
338	799
338	802
338	803
338	807
338	811
338	812
338	826
338	827
338	835
338	836
338	837
338	841
338	849
338	857
338	867
338	877
338	878
338	879
338	882
338	883
338	886
338	887
338	890
338	899
338	903
338	905
338	907
338	910
338	920
338	922
338	923
338	924
338	929
338	932
338	935
338	936
338	937
338	940
338	943
338	946
338	949
338	950
338	951
338	955
338	956
338	959
338	962
338	965
338	966
338	967
338	970
338	975
338	976
338	983
338	993
338	998
339	10
339	14
339	17
339	18
339	22
339	39
339	47
339	50
339	55
339	56
339	58
339	64
339	69
339	97
339	98
339	99
339	101
339	114
339	129
339	132
339	134
339	152
339	154
339	156
339	165
339	166
339	169
339	170
339	175
339	178
339	186
339	196
339	197
339	200
339	213
339	218
339	219
339	232
339	239
339	241
339	246
339	258
339	260
339	262
339	265
339	282
339	287
339	319
339	320
339	322
339	324
339	332
339	333
339	343
339	345
339	346
339	349
339	354
339	361
339	373
339	375
339	379
339	385
339	387
339	396
339	411
339	415
339	419
339	423
339	438
339	442
339	455
339	467
339	468
339	472
339	477
339	483
339	485
339	489
339	498
339	500
339	501
339	507
339	508
339	509
339	516
339	522
339	526
339	530
339	534
339	539
339	545
339	546
339	561
339	570
339	577
339	599
339	600
339	602
339	605
339	608
339	618
339	619
339	623
339	647
339	648
339	651
339	654
339	658
339	659
339	675
339	682
339	695
339	696
339	708
339	714
339	715
339	724
339	728
339	729
339	732
339	736
339	749
339	750
339	755
339	759
339	767
339	776
339	785
339	787
339	796
339	797
339	798
339	801
339	806
339	813
339	815
339	819
339	828
339	830
339	840
339	848
339	852
339	854
339	863
339	901
339	911
339	917
339	918
339	928
339	930
339	957
339	963
339	969
339	974
339	990
339	996
340	1
340	3
340	6
340	23
340	31
340	49
340	68
340	72
340	87
340	92
340	104
340	107
340	124
340	125
340	145
340	153
340	157
340	158
340	167
340	185
340	189
340	203
340	217
340	221
340	227
340	253
340	255
340	256
340	267
340	268
340	281
340	312
340	362
340	395
340	397
340	398
340	402
340	403
340	412
340	435
340	446
340	447
340	450
340	453
340	470
340	484
340	493
340	503
340	515
340	529
340	536
340	537
340	556
340	563
340	581
340	601
340	609
340	613
340	621
340	624
340	627
340	628
340	634
340	636
340	637
340	638
340	641
340	643
340	649
340	665
340	684
340	700
340	704
340	706
340	744
340	753
340	761
340	768
340	770
340	783
340	786
340	808
340	821
340	824
340	834
340	839
340	842
340	844
340	846
340	855
340	895
340	896
340	897
340	898
340	904
340	908
340	925
340	931
340	954
340	979
340	984
341	9
341	66
341	84
341	88
341	120
341	140
341	144
341	146
341	182
341	248
341	252
341	269
341	274
341	296
341	321
341	335
341	344
341	368
341	410
341	420
341	431
341	445
341	451
341	464
341	471
341	482
341	517
341	520
341	562
341	564
341	571
341	580
341	588
341	593
341	630
341	644
341	652
341	655
341	666
341	692
341	718
341	756
341	788
341	800
341	814
341	818
341	825
341	831
341	838
341	862
341	875
341	876
341	894
341	900
341	902
341	913
341	980
341	986
341	989
341	999
342	82
342	198
342	230
342	245
342	276
342	334
342	342
342	369
342	370
342	376
342	378
342	459
342	473
342	481
342	558
342	575
342	606
342	610
342	633
342	701
342	720
342	762
342	769
342	772
342	774
342	809
342	817
342	820
342	859
342	958
342	977
343	32
343	53
343	85
343	277
343	307
343	357
343	428
343	432
343	525
343	671
343	698
343	778
343	872
343	921
343	987
344	187
344	211
344	327
344	598
344	764
344	972
345	604
345	719
346	126
346	771
346	851
