Minimo	Corrida
500	193
500	198
500	255
500	299
500	349
500	351
500	378
500	398
500	420
500	454
500	494
500	512
500	640
500	652
500	653
500	675
500	698
500	743
500	780
500	787
500	802
500	833
500	918
500	962
500	983
500	990
501	2
501	8
501	16
501	17
501	18
501	19
501	23
501	24
501	32
501	33
501	36
501	38
501	40
501	51
501	52
501	57
501	60
501	72
501	73
501	88
501	93
501	95
501	96
501	104
501	106
501	108
501	109
501	110
501	118
501	119
501	122
501	126
501	128
501	131
501	134
501	153
501	155
501	158
501	160
501	162
501	167
501	169
501	170
501	182
501	183
501	187
501	188
501	189
501	194
501	195
501	204
501	208
501	215
501	220
501	221
501	242
501	243
501	249
501	251
501	256
501	262
501	265
501	276
501	281
501	282
501	283
501	297
501	300
501	302
501	310
501	313
501	315
501	316
501	321
501	322
501	323
501	327
501	330
501	336
501	338
501	341
501	343
501	345
501	347
501	352
501	360
501	362
501	363
501	364
501	366
501	368
501	369
501	379
501	401
501	404
501	405
501	413
501	418
501	426
501	433
501	437
501	451
501	455
501	457
501	458
501	459
501	461
501	466
501	470
501	482
501	483
501	491
501	497
501	501
501	505
501	517
501	519
501	523
501	525
501	527
501	531
501	533
501	534
501	535
501	538
501	542
501	543
501	544
501	545
501	547
501	549
501	562
501	566
501	569
501	575
501	583
501	584
501	587
501	591
501	596
501	615
501	617
501	618
501	630
501	635
501	641
501	645
501	646
501	647
501	657
501	658
501	659
501	674
501	676
501	679
501	681
501	689
501	690
501	694
501	700
501	704
501	716
501	722
501	724
501	725
501	726
501	734
501	738
501	741
501	744
501	746
501	748
501	752
501	763
501	765
501	767
501	769
501	771
501	774
501	775
501	776
501	795
501	807
501	825
501	828
501	831
501	842
501	845
501	847
501	855
501	864
501	870
501	872
501	874
501	876
501	880
501	881
501	884
501	885
501	889
501	892
501	897
501	904
501	912
501	915
501	926
501	933
501	934
501	935
501	937
501	939
501	940
501	943
501	952
501	958
501	965
501	968
501	969
501	978
501	985
501	992
501	996
502	4
502	5
502	7
502	10
502	11
502	13
502	15
502	26
502	27
502	42
502	43
502	45
502	59
502	64
502	70
502	71
502	74
502	78
502	79
502	80
502	81
502	85
502	86
502	91
502	92
502	94
502	97
502	101
502	102
502	103
502	107
502	123
502	127
502	142
502	143
502	144
502	151
502	157
502	161
502	172
502	180
502	184
502	192
502	197
502	200
502	202
502	203
502	206
502	209
502	211
502	214
502	216
502	218
502	224
502	231
502	234
502	236
502	238
502	252
502	258
502	266
502	267
502	268
502	269
502	277
502	278
502	284
502	294
502	296
502	301
502	303
502	306
502	308
502	311
502	317
502	324
502	326
502	328
502	332
502	333
502	337
502	342
502	344
502	350
502	365
502	367
502	371
502	372
502	374
502	387
502	393
502	394
502	400
502	407
502	410
502	414
502	419
502	424
502	429
502	436
502	438
502	440
502	443
502	446
502	450
502	468
502	479
502	481
502	488
502	489
502	490
502	493
502	496
502	500
502	504
502	507
502	508
502	511
502	513
502	522
502	528
502	532
502	536
502	539
502	540
502	563
502	565
502	567
502	573
502	574
502	580
502	586
502	590
502	593
502	597
502	598
502	599
502	605
502	611
502	613
502	616
502	619
502	620
502	622
502	627
502	632
502	637
502	642
502	643
502	656
502	664
502	671
502	672
502	680
502	684
502	685
502	687
502	695
502	696
502	697
502	702
502	703
502	711
502	713
502	714
502	717
502	720
502	721
502	723
502	728
