Minimo	Corrida
25	81
25	428
25	523
25	615
25	945
25	1144
25	1331
25	1455
25	2050
25	2457
25	2584
25	2638
25	3084
25	3406
25	3574
25	3580
25	3612
25	3918
25	5288
25	5425
25	5685
25	5788
25	5824
25	6003
25	6152
25	6251
25	6302
25	6363
25	6388
25	7335
25	7909
25	7965
25	8175
25	8470
25	8478
25	8700
25	8946
25	8967
25	9355
25	9390
25	9766
25	9771
25	9996
26	7
26	61
26	76
26	78
26	79
26	84
26	91
26	115
26	139
26	172
26	185
26	193
26	195
26	207
26	223
26	234
26	235
26	243
26	247
26	250
26	255
26	256
26	261
26	279
26	289
26	299
26	346
26	359
26	373
26	385
26	386
26	399
26	414
26	446
26	447
26	452
26	453
26	467
26	479
26	496
26	513
26	572
26	624
26	626
26	640
26	642
26	645
26	670
26	686
26	688
26	712
26	723
26	740
26	772
26	823
26	828
26	830
26	848
26	861
26	888
26	893
26	917
26	921
26	928
26	940
26	984
26	989
26	994
26	997
26	1003
26	1021
26	1037
26	1040
26	1047
26	1062
26	1090
26	1095
26	1116
26	1117
26	1118
26	1128
26	1131
26	1140
26	1143
26	1175
26	1199
26	1257
26	1273
26	1277
26	1310
26	1314
26	1327
26	1367
26	1380
26	1384
26	1391
26	1392
26	1403
26	1420
26	1432
26	1471
26	1474
26	1520
26	1543
26	1558
26	1565
26	1569
26	1579
26	1580
26	1592
26	1601
26	1616
26	1620
26	1621
26	1636
26	1644
26	1653
26	1658
26	1661
26	1679
26	1697
26	1708
26	1718
26	1725
26	1813
26	1822
26	1827
26	1880
26	1881
26	1892
26	1916
26	1923
26	1927
26	1988
26	2034
26	2051
26	2069
26	2071
26	2076
26	2093
26	2095
26	2105
26	2122
26	2132
26	2156
26	2165
26	2172
26	2175
26	2181
26	2185
26	2200
26	2211
26	2239
26	2250
26	2253
26	2297
26	2330
26	2341
26	2342
26	2359
26	2363
26	2371
26	2373
26	2383
26	2397
26	2428
26	2435
26	2452
26	2456
26	2474
26	2519
26	2520
26	2522
26	2571
26	2581
26	2592
26	2605
26	2614
26	2651
26	2687
26	2694
26	2732
26	2745
26	2772
26	2782
26	2784
26	2790
26	2796
26	2851
26	2919
26	2932
26	2954
26	2989
26	3015
26	3038
26	3044
26	3056
26	3059
26	3064
26	3088
26	3098
26	3106
26	3117
26	3147
26	3161
26	3166
26	3186
26	3236
26	3237
26	3249
26	3266
26	3290
26	3300
26	3306
26	3326
26	3333
26	3358
26	3367
26	3385
26	3414
26	3494
26	3498
26	3524
26	3564
26	3568
26	3590
26	3595
26	3650
26	3670
26	3676
26	3677
26	3691
26	3698
26	3745
26	3751
26	3761
26	3782
26	3816
26	3818
26	3821
26	3827
26	3845
26	3863
26	3895
26	3896
26	3938
26	3945
26	3951
26	3955
26	3965
26	3973
26	3977
26	3988
26	4002
26	4010
26	4027
26	4031
26	4045
26	4048
26	4076
26	4077
26	4106
26	4125
26	4127
26	4146
26	4173
26	4185
26	4196
26	4198
26	4213
26	4223
26	4226
26	4228
26	4229
26	4230
26	4242
26	4249
26	4279
26	4318
26	4330
26	4331
26	4341
26	4349
26	4364
26	4366
26	4389
26	4408
26	4417
26	4449
26	4464
26	4469
26	4485
26	4518
26	4521
26	4557
26	4559
26	4572
26	4604
26	4607
26	4621
26	4646
26	4653
26	4661
26	4674
26	4686
26	4693
26	4700
26	4733
26	4765
26	4779
26	4810
26	4819
26	4828
26	4830
26	4841
26	4854
26	4859
26	4892
26	4893
26	4899
26	4911
26	4914
26	4915
26	4944
26	4961
26	4967
26	4978
26	4984
26	5021
26	5026
26	5027
26	5030
26	5038
26	5040
26	5041
26	5043
26	5052
26	5053
26	5064
26	5071
26	5074
26	5078
26	5135
26	5155
26	5161
26	5199
26	5257
26	5259
26	5289
26	5297
26	5320
26	5332
26	5342
26	5350
26	5362
26	5373
26	5376
26	5393
26	5409
26	5440
26	5446
26	5468
26	5518
26	5536
26	5548
26	5572
26	5591
26	5601
26	5629
26	5663
26	5664
26	5671
26	5701
26	5707
26	5727
26	5751
26	5754
26	5761
26	5765
26	5768
26	5793
26	5802
26	5803
26	5813
26	5848
26	5866
26	5870
26	5886
26	5934
26	5958
26	5959
26	5971
26	5980
26	5996
26	6006
26	6011
26	6014
26	6024
26	6027
26	6043
26	6048
26	6084
26	6104
26	6112
26	6128
26	6135
26	6167
26	6175
26	6185
26	6204
26	6206
26	6209
26	6228
26	6279
26	6289
26	6304
26	6309
26	6313
26	6357
26	6374
26	6411
26	6421
26	6444
26	6454
26	6470
26	6479
26	6488
26	6517
26	6522
26	6527
26	6530
26	6542
26	6544
26	6555
26	6560
26	6583
26	6588
26	6606
26	6609
26	6615
26	6626
26	6648
26	6664
26	6670
26	6689
26	6709
26	6724
26	6732
26	6755
26	6805
26	6810
26	6811
26	6815
26	6827
26	6848
26	6858
26	6868
26	6882
26	6890
26	6914
26	6936
26	6960
26	6962
26	6972
26	7052
26	7055
26	7079
26	7084
26	7092
26	7128
26	7137
26	7139
26	7143
26	7184
26	7190
26	7191
26	7225
26	7232
26	7275
26	7279
26	7295
26	7319
26	7342
26	7371
26	7377
26	7405
26	7411
26	7418
26	7427
26	7450
26	7455
26	7457
26	7463
26	7476
26	7491
26	7497
26	7522
26	7527
26	7532
26	7541
26	7548
26	7550
26	7577
26	7578
26	7605
26	7614
26	7628
26	7649
26	7658
26	7669
26	7671
26	7743
26	7771
26	7774
26	7790
26	7795
26	7804
26	7832
26	7853
26	7870
26	7882
26	7899
26	7903
26	7927
26	7928
26	7940
26	7989
26	7999
26	8012
26	8016
26	8029
26	8054
26	8056
26	8070
26	8086
26	8094
26	8107
26	8114
26	8122
26	8127
26	8150
26	8152
26	8179
26	8193
26	8207
26	8217
26	8223
26	8235
26	8243
26	8283
26	8293
26	8306
26	8324
26	8329
26	8333
26	8342
26	8370
26	8384
26	8385
26	8394
26	8414
26	8421
26	8440
26	8452
26	8454
26	8458
26	8492
26	8518
26	8520
26	8521
26	8529
26	8562
26	8567
26	8572
26	8600
26	8603
26	8614
26	8660
26	8685
26	8690
26	8701
26	8719
26	8730
26	8731
26	8736
26	8743
26	8746
26	8776
26	8787
26	8803
26	8836
26	8865
26	8903
26	8905
26	8945
26	8957
26	8971
26	8980
26	9006
26	9017
26	9030
26	9043
26	9046
26	9050
26	9074
26	9098
26	9103
26	9118
26	9184
26	9191
26	9193
26	9194
26	9212
26	9214
26	9222
26	9233
26	9234
26	9251
26	9262
26	9267
26	9277
26	9283
26	9310
26	9315
26	9357
26	9372
26	9396
26	9422
26	9435
26	9468
26	9470
26	9521
26	9527
26	9534
26	9536
26	9541
26	9549
26	9555
26	9558
26	9562
26	9575
26	9579
26	9588
26	9593
26	9626
26	9637
26	9646
26	9657
26	9688
26	9701
26	9711
26	9735
26	9747
26	9761
26	9774
26	9795
26	9799
26	9822
26	9825
26	9838
26	9850
26	9854
26	9862
26	9881
26	9901
26	9906
26	9912
26	9920
26	9932
26	9952
26	9959
26	9967
26	9985
26	9994
26	9995
27	4
27	12
27	13
27	15
27	20
27	24
27	25
27	34
27	38
27	43
27	44
27	48
27	66
27	69
27	72
27	73
27	75
27	77
27	89
27	94
27	95
27	102
27	103
27	107
27	111
27	117
27	125
27	137
27	138
27	141
27	142
27	143
27	148
27	150
27	151
27	152
27	156
27	162
27	163
27	164
27	166
27	167
27	168
27	175
27	179
27	180
27	181
27	183
27	192
27	194
27	196
27	199
27	204
27	205
27	209
27	211
27	218
27	219
27	225
27	232
27	242
27	249
27	257
27	264
27	273
27	274
27	275
27	276
27	283
27	284
27	287
27	293
27	294
27	295
27	298
27	300
27	302
27	321
27	326
27	327
27	328
27	330
27	338
27	342
27	344
27	347
27	348
27	352
27	354
27	356
27	361
27	374
27	377
27	384
27	389
27	391
27	393
27	394
27	398
27	400
27	403
27	410
27	415
27	422
27	423
27	424
27	430
27	432
27	436
27	439
27	444
27	449
27	451
27	466
27	472
27	477
27	482
27	486
27	487
27	488
27	491
27	494
27	495
27	498
27	502
27	505
27	507
27	508
27	514
27	516
27	517
27	525
27	526
27	531
27	541
27	543
27	546
27	547
27	548
27	551
27	563
27	571
27	574
27	576
27	577
27	594
27	596
27	598
27	601
